year,artist,streams
2017,"Adrian Sanz, Toni Menguiano, Dani Garcia, Elena Cabrero, Daniel Reus, María Caneda, Bely Basarte, Laura Enrech",0.0
2017,Adrian Ström,0.0
2017,Adrian Vidal,0.0
2017,Adriana Calcanhotto,0.0
2017,Adriana Lucia,0.0
2017,"Adriana Lucia, Alfredo Gutierrez",0.0
2017,"Adriana Lucia, Goyo",0.0
2017,Adriano Celentano,0.0
2017,"Adriel Cruz, Aha Gazelle",0.0
2017,Adrijana,1905589.0
2017,Adrián,0.0
2017,Adrián Berra,0.0
2017,"Adryx-G, Anika, Sphud",0.0
2017,Adult Jazz,0.0
2017,Adventure Club,161765.0
2017,Advertising Band of the Philippines,0.0
2017,Ady Ann,21190.0
2017,Ady Suleiman,79262.0
2017,Ae Jirakorn,4254.0
2017,Aegis,25399.0
2017,Aeora,0.0
2017,Aero Chord,0.0
2017,Aerophon,0.0
2017,Aeroplane,0.0
2017,"Aeroplane, Purple Disco Machine, Aloe Blacc",0.0
2017,Aerosmith,439927.0
2017,"Aerreo, Stereohats",0.0
2017,Aevion,0.0
2017,Affet Robot,0.0
2017,Afgan,131869.0
2017,"Afgan, Raisa",4197.0
2017,"Afonso, José Afonso",0.0
2017,Afrakite,0.0
2017,"African Sunz, Arif",0.0
2017,"Afrika Bambaataa, Afrika Bambaataa & The Soulsonic Force",0.0
2017,Afro B,0.0
2017,"Afro B, Sneakbo, Team Salut",0.0
2017,"Afro B, Yxng Bane",0.0
2017,Afro Bros,0.0
2017,"Afro Bros, Finest Sno",485889.0
2017,"Afrob, Megaloh",0.0
2017,Afrodisiaco,0.0
2017,"Afrojack, David Guetta, Ester Dean",5823635.0
2017,"Afrojack, Jay Karama",3217.0
2017,"Afrojack, Luis Fonsi",207425.0
2017,"Afrojack, Matthew Koma",0.0
2017,"Afrojack, Mightyfools",0.0
2017,"Afrojack, Wrabel",0.0
2017,Afrojuice 195,0.0
2017,Afroman,0.0
2017,"Afronaut Zu, Levelle London",0.0
2017,"After Romeo, Silentó",0.0
2017,After The Burial,0.0
2017,"Afterhours, Carmen Consoli",0.0
2017,Afterpartees,0.0
2017,Aftertheparty,0.0
2017,"Aftrparty, Jordan Corey",0.0
2017,Agapornis,3655796.0
2017,"Agapornis, Come & C",16424.0
2017,Agar Agar,0.0
2017,Agatha Suci,0.0
2017,"Agatino Romero, Conrow",0.0
2017,"Agatino Romero, Jette",0.0
2017,Age Factory,0.0
2017,Age of Consent,0.0
2017,"Agera, Ulrikke",0.0
2017,Aggie,0.0
2017,Aggie Hsieh,45118.0
2017,Agir,78158.0
2017,"Agir, Ana Moura",123048.0
2017,Agnes Obel,0.0
2017,Agnes Stock,19336.0
2017,"Agnes Stock, Malin Joneid Ellefsen",0.0
2017,Agnieszka Chylinska,25673.0
2017,Agnostic Front,0.0
2017,Agoney,0.0
2017,"Agoney, Alfred García",0.0
2017,"Agoney, Raoul Vázquez",0.0
2017,"Agoney, Ricky Merino",0.0
2017,Agoria,0.0
2017,Agridoce,0.0
2017,Agsunta,0.0
2017,Agua Bella,0.0
2017,Agua Bendita,0.0
2017,Agung Munthe,0.0
2017,Agus Padilla,346733.0
2017,Agustin Galiana,0.0
2017,"Ah! Kosmos, Aslı Bostancı",0.0
2017,"Aha Gazelle, MC Fiji",0.0
2017,Ahmet Halici,0.0
2017,"Ahmet Kural, Murat Cemcir, Aytekin Ataş",0.0
